Student Name,Admission Number,Class Name,Stream Name,Parent Name,Parent Email,Date of Birth
Ryan Ochieng Muchiri,CBC-210,Grade 5,West,Ursula Otieno Muchiri,ursula.otieno@giakanja.co.ke,2014-02-22
Derrick Otieno Makau,CBC-211,Grade 6,East,Jelimo Mwenda Makau,jelimo.mwenda@giakanja.co.ke,2014-04-17
Nafula Kamau Obare,CBC-212,Grade 6,East,Njoroge Njoroge Obare,njoroge.njoroge@giakanja.co.ke,2013-08-07
Raymond Akelo Obare,CBC-213,Grade 6,East,Ryan Chelangat Obare,ryan.chelangat@giakanja.co.ke,2013-01-25
Chelangat Wanjiku Mutiso,CBC-214,Grade 6,East,Eunice Njoroge Mutiso,eunice.njoroge@giakanja.co.ke,2014-02-21
Arnold Wanjiku Ogolla,CBC-215,Grade 6,East,Hassan Waweru Ogolla,hassan.waweru@giakanja.co.ke,2013-12-04
Yvonne Wambui Otieno,CBC-216,Grade 6,East,Kiptoo Otieno Otieno,kiptoo.otieno@giakanja.co.ke,2013-12-16
Dennis Omondi Nzomo,CBC-217,Grade 6,East,Nathan Wairimu Nzomo,nathan.wairimu@giakanja.co.ke,2013-02-22
Naomi Awino Barasa,CBC-218,Grade 6,East,Betty Njeri Barasa,betty.njeri@giakanja.co.ke,2014-09-27
Kipngetich Mwenda Nyamweya,CBC-219,Grade 6,East,Caroline Omondi Nyamweya,caroline.omondi@giakanja.co.ke,2014-08-16
Lucy Wambui Warsame,CBC-220,Grade 6,East,Charles Kagendo Warsame,charles.kagendo@giakanja.co.ke,2014-05-13
Clinton Wanjiku Ngilu,CBC-221,Grade 6,East,Charles Mwenda Ngilu,charles.mwenda@giakanja.co.ke,2013-06-04
Jane Mwikali Oloo,CBC-222,Grade 6,East,Cynthia Wairimu Oloo,cynthia.wairimu@giakanja.co.ke,2013-04-22
Amos Baraka Kyalo,CBC-223,Grade 6,East,Sharon Kimani Kyalo,sharon.kimani@giakanja.co.ke,2014-10-01
Naomi Muthoni Njoroge,CBC-224,Grade 6,East,Baraka Chelangat Njoroge,baraka.chelangat@giakanja.co.ke,2014-11-20
Calvin Mwikali Mwangi,CBC-225,Grade 6,East,Kipchoge Kipchoge Mwangi,kipchoge.kipchoge@giakanja.co.ke,2014-03-10
Joshua Kipchoge Kinyua,CBC-226,Grade 6,West,Jacqueline Auma Kinyua,jacqueline.auma@giakanja.co.ke,2014-06-01
Wangari Mwikali Omari,CBC-227,Grade 6,West,Nathan Wanjiku Omari,nathan.wanjiku@giakanja.co.ke,2014-03-08
Enock Chelangat Njeru,CBC-228,Grade 6,West,Wairimu Akinyi Njeru,wairimu.akinyi@giakanja.co.ke,2013-03-03
Sarah Akinyi Wafula,CBC-229,Grade 6,West,Gloria Njoroge Wafula,gloria.njoroge@giakanja.co.ke,2013-12-28
Paul Waweru Kyalo,CBC-230,Grade 6,West,Fatuma Akinyi Kyalo,fatuma.akinyi@giakanja.co.ke,2014-08-14
Purity Adhiambo Mwangi,CBC-231,Grade 6,West,Rose Kipkorir Mwangi,rose.kipkorir@giakanja.co.ke,2013-02-04
Derrick Baraka Oketch,CBC-232,Grade 6,West,Millicent Atieno Oketch,millicent.atieno@giakanja.co.ke,2014-12-23
Irene Auma Mwau,CBC-233,Grade 6,West,Collins Akinyi Mwau,collins.akinyi@giakanja.co.ke,2014-07-20
Leonard Kagendo Musyoka,CBC-234,Grade 6,West,Vincent Wairimu Musyoka,vincent.wairimu@giakanja.co.ke,2013-06-26
Sandra Akinyi Gichimu,CBC-235,Grade 6,West,Nekesa Otieno Gichimu,nekesa.otieno@giakanja.co.ke,2013-04-23
Brian Kagendo Ndirangu,CBC-236,Grade 6,West,Teresa Njoroge Ndirangu,teresa.njoroge@giakanja.co.ke,2014-04-04
Pauline Kiptoo Kavata,CBC-237,Grade 6,West,Mohamed Kamau Kavata,mohamed.kamau@giakanja.co.ke,2013-10-01
Edwin Adhiambo Ogola,CBC-238,Grade 6,West,Derrick Muthoni Ogola,derrick.muthoni@giakanja.co.ke,2014-02-22
Alice Waweru Ndungu,CBC-239,Grade 6,West,Kamau Nekesa Ndungu,kamau.nekesa@giakanja.co.ke,2014-04-17
Otieno Wairimu Kasyoka,CBC-240,Grade 6,West,Sandra Waweru Kasyoka,sandra.waweru@giakanja.co.ke,2014-12-07
Kipkorir Njoroge Otieno,CBC-241,Grade 7,East,Dennis Omondi Otieno,dennis.omondi@giakanja.co.ke,2012-04-09
Nancy Kamau Gitau,CBC-242,Grade 7,East,Alice Njeri Gitau,alice.njeri@giakanja.co.ke,2013-07-16
Joshua Kimani Thuo,CBC-243,Grade 7,East,Naomi Omondi Thuo,naomi.omondi@giakanja.co.ke,2013-06-16
Mwikali Nekesa Thuo,CBC-244,Grade 7,East,Nancy Kiptoo Thuo,nancy.kiptoo@giakanja.co.ke,2012-06-17
Nathan Njeri Mutiso,CBC-245,Grade 7,East,Catherine Kipchoge Mutiso,catherine.kipchoge@giakanja.co.ke,2012-03-25
Mwikali Akelo Okeyo,CBC-246,Grade 7,East,Samson Adhiambo Okeyo,samson.adhiambo@giakanja.co.ke,2012-08-02
Gilbert Baraka Ndungu,CBC-247,Grade 7,East,Linda Maina Ndungu,linda.maina@giakanja.co.ke,2012-05-25
Chepkoech Kipchoge Ogolla,CBC-248,Grade 7,East,Newton Kimani Ogolla,newton.kimani@giakanja.co.ke,2013-06-22
Patrick Muthoni Khisa,CBC-249,Grade 7,East,Anthony Chelangat Khisa,anthony.chelangat@giakanja.co.ke,2012-05-15
Sarah Atieno Ndungu,CBC-250,Grade 7,East,Njeri Kipchoge Ndungu,njeri.kipchoge@giakanja.co.ke,2013-02-16
Duncan Mwikali Mutua,CBC-251,Grade 7,East,Leonard Maina Mutua,leonard.maina@giakanja.co.ke,2012-07-02
Auma Akinyi Mugambi,CBC-252,Grade 7,East,Hannah Kipchoge Mugambi,hannah.kipchoge@giakanja.co.ke,2012-07-15
Nathan Kipchoge Warsame,CBC-253,Grade 7,East,Jane Kimani Warsame,jane.kimani@giakanja.co.ke,2013-12-24
Zawadi Kipchoge Ochieng,CBC-254,Grade 7,East,Karen Kimani Ochieng,karen.kimani@giakanja.co.ke,2013-10-20
Dennis Akelo Mureithi,CBC-255,Grade 7,East,Maina Ochieng Mureithi,maina.ochieng@giakanja.co.ke,2013-05-21
Patrick Wambui Nyakundi,CBC-256,Grade 7,West,Joshua Akinyi Nyakundi,joshua.akinyi@giakanja.co.ke,2012-04-06
Jacqueline Warsame Makau,CBC-257,Grade 7,West,Michael Wambui Makau,michael.wambui@giakanja.co.ke,2012-07-12
Gilbert Maina Njenga,CBC-258,Grade 7,West,Edwin Wairimu Njenga,edwin.wairimu@giakanja.co.ke,2012-06-14
Hellen Zawadi Kibet,CBC-259,Grade 7,West,Alice Njeri Kibet,alice.njeri@giakanja.co.ke,2013-12-05
Waweru Omondi Wainaina,CBC-260,Grade 7,West,Gideon Kipchoge Wainaina,gideon.kipchoge@giakanja.co.ke,2013-08-07
Sharon Mwenda Ruto,CBC-261,Grade 7,West,Jacqueline Warsame Ruto,jacqueline.warsame@giakanja.co.ke,2013-05-20
Kipchoge Kipkorir Wesonga,CBC-262,Grade 7,West,Sheila Njoroge Wesonga,sheila.njoroge@giakanja.co.ke,2013-02-24
Nancy Zawadi Gichimu,CBC-263,Grade 7,West,Emmanuel Kimani Gichimu,emmanuel.kimani@giakanja.co.ke,2012-11-14
Brian Kipchoge Waititu,CBC-264,Grade 7,West,Jacqueline Kagendo Waititu,jacqueline.kagendo@giakanja.co.ke,2013-04-25
Mary Kiptoo Odero,CBC-265,Grade 7,West,Hassan Wairimu Odero,hassan.wairimu@giakanja.co.ke,2013-12-27
Solomon Mwikali Nyamweya,CBC-266,Grade 7,West,Mwikali Wanjiku Nyamweya,mwikali.wanjiku@giakanja.co.ke,2013-12-18
Pauline Chelangat Bett,CBC-267,Grade 7,West,Kipngetich Wanjiku Bett,kipngetich.wanjiku@giakanja.co.ke,2013-09-27
Kevin Kiptoo Waititu,CBC-268,Grade 7,West,Robert Otieno Waititu,robert.otieno@giakanja.co.ke,2013-02-03
Joyce Atieno Ouma,CBC-269,Grade 7,West,Betty Njoroge Ouma,betty.njoroge@giakanja.co.ke,2013-12-04
Derrick Chelangat Obare,CBC-270,Grade 7,West,Sheila Kiptoo Obare,sheila.kiptoo@giakanja.co.ke,2013-05-07
George Warsame Musyoka,CBC-271,Grade 8,East,Nafula Njeri Musyoka,nafula.njeri@giakanja.co.ke,2012-06-17
Kagendo Zawadi Warsame,CBC-272,Grade 8,East,Kemunto Auma Warsame,kemunto.auma@giakanja.co.ke,2011-05-28
Victor Awino Odero,CBC-273,Grade 8,East,Dennis Kipkorir Odero,dennis.kipkorir@giakanja.co.ke,2011-07-22
Sasha Omondi Odhiambo,CBC-274,Grade 8,East,Mary Chelangat Odhiambo,mary.chelangat@giakanja.co.ke,2011-09-23
Samuel Muthoni Warsame,CBC-275,Grade 8,East,Hellen Wambui Warsame,hellen.wambui@giakanja.co.ke,2011-12-17
Hellen Maina Sang,CBC-276,Grade 8,East,Kelvin Njoroge Sang,kelvin.njoroge@giakanja.co.ke,2012-11-16
Omondi Auma Simiyu,CBC-277,Grade 8,East,Sasha Mwenda Simiyu,sasha.mwenda@giakanja.co.ke,2012-08-11
Fatuma Otieno Mutiso,CBC-278,Grade 8,East,Mutheu Warsame Mutiso,mutheu.warsame@giakanja.co.ke,2011-03-27
Meshack Akelo Ndirangu,CBC-279,Grade 8,East,Baraka Adhiambo Ndirangu,baraka.adhiambo@giakanja.co.ke,2011-01-07
Lydia Chelangat Sang,CBC-280,Grade 8,East,Abdi Chelangat Sang,abdi.chelangat@giakanja.co.ke,2011-01-19
Kamau Kipchoge Mugo,CBC-281,Grade 8,East,Fatuma Wanjiku Mugo,fatuma.wanjiku@giakanja.co.ke,2011-11-03
Kemunto Akelo Khisa,CBC-282,Grade 8,East,Dennis Omondi Khisa,dennis.omondi@giakanja.co.ke,2011-06-08
Kelvin Ochieng Njenga,CBC-283,Grade 8,East,Gloria Kipchoge Njenga,gloria.kipchoge@giakanja.co.ke,2011-04-22
Sarah Otieno Wainaina,CBC-284,Grade 8,East,Kiptoo Ochieng Wainaina,kiptoo.ochieng@giakanja.co.ke,2012-10-28
Emmanuel Wanjiku Mwende,CBC-285,Grade 8,East,Maina Njoroge Mwende,maina.njoroge@giakanja.co.ke,2011-09-08
Samuel Kagendo Warui,CBC-286,Grade 8,West,Vivian Njeri Warui,vivian.njeri@giakanja.co.ke,2012-02-06
Cynthia Auma Oketch,CBC-287,Grade 8,West,Ann Ochieng Oketch,ann.ochieng@giakanja.co.ke,2011-01-27
Ryan Mwikali Gitonga,CBC-288,Grade 8,West,Newton Wanjiku Gitonga,newton.wanjiku@giakanja.co.ke,2012-09-20
Jelimo Njeri Mutua,CBC-289,Grade 8,West,Emmanuel Wanjiku Mutua,emmanuel.wanjiku@giakanja.co.ke,2012-02-02
Amos Akinyi Mugambi,CBC-290,Grade 8,West,Sasha Akinyi Mugambi,sasha.akinyi@giakanja.co.ke,2012-08-25
Edna Awino Muchiri,CBC-291,Grade 8,West,James Chelangat Muchiri,james.chelangat@giakanja.co.ke,2012-03-08
Ochieng Atieno Gacheru,CBC-292,Grade 8,West,Olivia Adhiambo Gacheru,olivia.adhiambo@giakanja.co.ke,2011-07-15
Jane Mwenda Mwau,CBC-293,Grade 8,West,Chepkoech Kimani Mwau,chepkoech.kimani@giakanja.co.ke,2012-06-18
Kevin Wairimu Makau,CBC-294,Grade 8,West,Jebet Warsame Makau,jebet.warsame@giakanja.co.ke,2011-07-10
Esther Njeri Muchiri,CBC-295,Grade 8,West,Robert Atieno Muchiri,robert.atieno@giakanja.co.ke,2011-08-02
Kevin Mwenda Gacheru,CBC-296,Grade 8,West,Wambui Akelo Gacheru,wambui.akelo@giakanja.co.ke,2012-04-27
Kemunto Kimani Mboya,CBC-297,Grade 8,West,Paul Njeri Mboya,paul.njeri@giakanja.co.ke,2011-11-19
Patrick Akinyi Ochieng,CBC-298,Grade 8,West,Jacqueline Awino Ochieng,jacqueline.awino@giakanja.co.ke,2012-08-09
Gloria Akelo Muchiri,CBC-299,Grade 8,West,Solomon Wambui Muchiri,solomon.wambui@giakanja.co.ke,2011-10-28
Kipngetich Ochieng Abubakar,CBC-300,Grade 8,West,Awino Kagendo Abubakar,awino.kagendo@giakanja.co.ke,2012-06-18
Leonard Akelo Otieno,CBC-301,Grade 9,East,Leonard Kiptoo Otieno,leonard.kiptoo@giakanja.co.ke,2011-04-10
Kemunto Kipchoge Nyakundi,CBC-302,Grade 9,East,Robert Awino Nyakundi,robert.awino@giakanja.co.ke,2011-07-16
Peter Njoroge Otieno,CBC-303,Grade 9,East,Chelangat Wairimu Otieno,chelangat.wairimu@giakanja.co.ke,2011-09-11
Irene Wanjiku Murithi,CBC-304,Grade 9,East,Caroline Baraka Murithi,caroline.baraka@giakanja.co.ke,2011-06-16
Steve Baraka Warsame,CBC-305,Grade 9,East,Esther Kipchoge Warsame,esther.kipchoge@giakanja.co.ke,2010-05-10
Yvonne Mwikali Ouma,CBC-306,Grade 9,East,Solomon Ochieng Ouma,solomon.ochieng@giakanja.co.ke,2010-01-27
Ezekiel Chelangat Ogola,CBC-307,Grade 9,East,Ochieng Kipchoge Ogola,ochieng.kipchoge@giakanja.co.ke,2010-01-12
Betty Baraka Gichimu,CBC-308,Grade 9,East,Purity Akelo Gichimu,purity.akelo@giakanja.co.ke,2010-11-12
Calvin Muthoni Omar,CBC-309,Grade 9,East,Rachel Omondi Omar,rachel.omondi@giakanja.co.ke,2010-10-21
Diana Kipkorir Hussein,CBC-310,Grade 9,East,Monica Kipkorir Hussein,monica.kipkorir@giakanja.co.ke,2010-09-05
Raymond Baraka Odhiambo,CBC-311,Grade 9,East,Mark Maina Odhiambo,mark.maina@giakanja.co.ke,2011-07-05
Jacqueline Maina Obare,CBC-312,Grade 9,East,Kiptoo Mwenda Obare,kiptoo.mwenda@giakanja.co.ke,2010-01-16
Kipkorir Kamau Omar,CBC-313,Grade 9,East,Olivia Njeri Omar,olivia.njeri@giakanja.co.ke,2010-02-16
Naomi Kimani Makau,CBC-314,Grade 9,East,Karen Warsame Makau,karen.warsame@giakanja.co.ke,2010-04-03
Mwenda Akelo Ngugi,CBC-315,Grade 9,East,Robert Kiptoo Ngugi,robert.kiptoo@giakanja.co.ke,2010-09-13
Rodgers Wambui Odhiambo,CBC-316,Grade 9,West,Duncan Kiptoo Odhiambo,duncan.kiptoo@giakanja.co.ke,2010-07-05
Chelangat Omondi Chepkemoi,CBC-317,Grade 9,West,Chebet Awino Chepkemoi,chebet.awino@giakanja.co.ke,2010-06-11
Samuel Maina Kasyoka,CBC-318,Grade 9,West,Catherine Mwenda Kasyoka,catherine.mwenda@giakanja.co.ke,2011-12-25
Chelangat Zawadi Muchiri,CBC-319,Grade 9,West,Chepkoech Njeri Muchiri,chepkoech.njeri@giakanja.co.ke,2011-07-07
Abdi Muthoni Rotich,CBC-320,Grade 9,West,Benard Muthoni Rotich,benard.muthoni@giakanja.co.ke,2010-08-19
Diana Kipkorir Sang,CBC-321,Grade 9,West,Wako Wanjiku Sang,wako.wanjiku@giakanja.co.ke,2010-12-16
Raymond Mwenda Kinyua,CBC-322,Grade 9,West,Adrian Chelangat Kinyua,adrian.chelangat@giakanja.co.ke,2011-04-11
Sheila Kiptoo Mwende,CBC-323,Grade 9,West,Eunice Awino Mwende,eunice.awino@giakanja.co.ke,2011-05-09
Arnold Wanjiku Owino,CBC-324,Grade 9,West,Sandra Njeri Owino,sandra.njeri@giakanja.co.ke,2010-04-17
Mutheu Kiptoo Macharia,CBC-325,Grade 9,West,George Akelo Macharia,george.akelo@giakanja.co.ke,2010-01-02
Eric Wambui Gachuhi,CBC-326,Grade 9,West,Diana Njoroge Gachuhi,diana.njoroge@giakanja.co.ke,2010-09-19
Njeri Warsame Gitau,CBC-327,Grade 9,West,Oscar Waweru Gitau,oscar.waweru@giakanja.co.ke,2010-06-12
Benard Baraka Macharia,CBC-328,Grade 9,West,Olivia Omondi Macharia,olivia.omondi@giakanja.co.ke,2010-10-16
Yvonne Kamau Kinyua,CBC-329,Grade 9,West,Paul Kipchoge Kinyua,paul.kipchoge@giakanja.co.ke,2010-11-01
Calvin Kagendo Odero,CBC-330,Grade 9,West,Sandra Warsame Odero,sandra.warsame@giakanja.co.ke,2010-01-02
